date,kyu,slug,time_min,solved
2025-02-16,8,function-1-hello-world,,true
2025-02-16,8,convert-a-number-to-a-string,,true
2025-02-16,8,dna-to-rna-conversion,,true
2025-06-24,8,are-you-playing-banjo,,true
2025-06-30,8,convert-a-boolean-to-a-string,,true
2026-04-11,8,opposite-number,,true
2026-04-11,8,beginner-series-number-2-clock,,true
2026-04-11,8,sum-of-positive,,true
2026-04-14,8,counting-sheep-dot-dot-dot,,true
2026-04-14,8,remove-first-and-last-character,,true
2026-04-14,8,makeuppercase,,true
2026-04-14,8,quarter-of-the-year,,true
2026-05-09,8,reversed-strings,,true
